anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;10;43;6;3;1;3;6;1;11
1;Tungurahua;MUTUO ACUERDO;15;41;6;4;1;4;6;3;11
1;Tungurahua;MUTUO ACUERDO;12;53;6;3;1;3;6;3;11
1;Cotopaxi;ABANDONO;2;27;6;1;1;1;6;1;11
1;Cotopaxi;MUTUO ACUERDO;5;41;6;4;1;4;6;4;11
1;Los Ríos;MUTUO ACUERDO;6;30;6;10;1;10;6;2;11
1;Los Ríos;MUTUO ACUERDO;16;42;6;1;1;1;6;1;11
1;Los Ríos;MUTUO ACUERDO;8;29;6;1;1;1;6;1;11
1;Cotopaxi;MUTUO ACUERDO;10;28;6;10;1;10;6;1;11
1;Los Ríos;ABANDONO;19;57;6;3;0;3;6;4;11
1;Los Ríos;MUTUO ACUERDO;19;42;6;10;1;10;9;1;11
1;Santa Elena;ABANDONO;18;47;9;10;1;10;9;3;11
1;Los Ríos;ABANDONO;6;63;6;1;1;1;6;1;11
1;Guayas;MUTUO ACUERDO;45;66;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;2;39;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;5;32;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;33;58;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;15;44;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;30;55;6;3;1;3;6;3;11
1;Santa Elena;MUTUO ACUERDO;7;38;9;4;1;4;9;1;11
1;Santa Elena;MUTUO ACUERDO;17;36;9;2;1;2;6;1;11
1;Santa Elena;ABANDONO;16;33;9;10;0;10;9;1;10
1;Santa Elena;MUTUO ACUERDO;8;48;9;1;1;1;9;10;11
1;Santa Elena;MUTUO ACUERDO;5;62;9;1;1;1;9;1;11
1;Guayas;MUTUO ACUERDO;16;48;6;3;1;3;6;3;11
1;Guayas;ABANDONO;33;57;6;3;1;3;6;3;11
1;Guayas;ABANDONO;19;46;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;38;65;6;3;1;3;6;3;11
